year,hours,avg_load_MWh,peak_load_MWh,p95_load_MWh,p99_load_MWh,overloaded_hours,critical_hours,maintenance_pressure,p95_growth_pct,overloaded_hours_growth_pct,maintenance_growth_pct
2022,7343,2248.105401679695,3513.481644,2903.4388267,3151.6819972000003,0,0,3091.8827844057328,,,
2023,8759,2387.4368037486015,3761.250986,3174.7429449,3410.34611734,27,0,4185.10819481588,0.09344234006416441,,0.35357918997575055
2024,8783,2486.3200696617328,3706.30109,3235.1684266999996,3447.0095446600003,18,0,4522.657242630284,0.019033188780549493,-0.33333333333333337,0.0806547960295334
2025,8759,2615.1863364589562,4449.857488,3353.1144321,3627.97801552,124,2,4983.831252801425,0.03645745440224579,5.888888888888889,0.10196970175500897
2026,768,3264.246671746094,4138.43671,3779.4954121,3956.805261350001,176,11,673.3597368051751,0.12715968650463405,0.4193548387096775,-0.8648911444530395
