GridArea,GridCompanyName,avg_load_MWh,peak_load_MWh,capacity_proxy_MWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,cumulative_maintenance_pressure,max_load_ratio
244,TREFOR El-Net A/S,202.19681838896318,331.7645,288.14784116,345,32,1721,1721,17901.789737133266,1.1513690287055836
584,Midtfyns Elforsyning A.m.b.A.,8.59055221079856,14.611611,12.474279939999999,345,24,1721,1721,17455.68030963282,1.1713390328163504
347,NOE Net A/S,53.867040893525505,112.431594,80.22215496,345,48,1721,1721,17084.355577621092,1.4015030393544043
141,Hammel Elforsyning Net A/S,4.137074501743578,7.256810000000001,6.2132432,345,11,1721,1721,16820.073627226047,1.167958466521961
131,N1 A/S - 131,574.6775198780366,1020.920985,855.33459718,345,14,1721,1721,16655.43642551372,1.193592529012542
344,N1 A/S - 344,459.20971485525405,810.9543649999999,686.41412219,345,16,1721,1721,16579.830872265786,1.1814360147670844
233,Dinel A/S - 233,110.07765893040217,192.785268,164.97627229999998,345,42,1721,1721,16574.389971050336,1.1685636080407427
543,Vores Elnet A/S,290.06795925209235,508.145118,432.60420723,345,28,1721,1721,16568.52026231264,1.17461899238959
348,RAH Net A/S - 348,111.99118920824132,205.83560999999997,170.13061129999994,345,57,1721,1721,16072.301483645088,1.2098681620383978
531,Ravdex A/S,17.03324736408811,35.350947999999995,26.171706759999992,345,38,1721,1721,15761.526831667848,1.3507314721265815
084,Kimbrer Elnet A/S,2.851507556085086,5.2663199999999994,4.4425457999999995,345,29,1721,1721,15758.81591525386,1.1854284090892209
031,Nord Energi Net A/S,117.62933447573523,256.611514,186.48617171999996,345,86,1721,1721,15070.71041069548,1.37603507881158
396,Sunds Net A.m.b.a,2.214660196849936,4.337350000000001,3.5564444999999996,345,39,1721,1721,14947.64985547964,1.2195747747504568
357,Forsyning Elnet A/S,6.2335817707776355,12.84634,10.33567957,345,107,1721,1721,14194.83741245904,1.2429119839673977
016,El-net Kongerslev A/S,0.46265868496100576,1.2363199999999999,0.7719348000000001,344,153,1719,1719,14063.49251747373,1.6015860406863374
370,Aal El-net A.m.b.a,1.373241418168081,3.01456,2.27683301,345,67,1721,1721,13889.61687629057,1.3240145354357806
371,Hjerting Transformatorforening,1.5479675199778993,3.59079,2.583245099999999,344,55,1720,1720,13870.086612454457,1.390030702080883
342,Ikast El Net A/S,8.447719547018483,16.835815999999998,14.21283546,345,91,1721,1721,13765.405792022566,1.1845501235402327
085,Læsø Elnet A/S,1.647265518481925,3.6849600000000002,2.8731616,345,66,1721,1721,12620.967122031283,1.2825453326398348
351,L-Net A/S,30.98649594678254,80.3965,55.493393999999896,345,150,1721,1721,11765.767784665471,1.4487580269464173
381,Hurup Elværk Net A/S,1.8997213416642418,4.4867,3.6928549999999962,344,70,1719,1719,11587.075267689055,1.214967822998738
051,Elinord A/S,23.45237968673718,53.377629999999996,44.52982048999999,345,64,1721,1721,11357.601363365675,1.1986940304865354
042,Netselskabet Elværk A/S - 042,24.758588413381556,47.230716,39.825623439999994,249,40,1245,1245,10785.28968094895,1.185937894259365
"151, 245","Konstant Net A/S - 151, Konstant Net A/S - 245",276.9020259503692,663.6821180000001,548.05664452,344,35,1720,1720,10077.869869570843,1.2109735820852374
"154, 341, 384, 385, 532, 533","Elnet Midt A/S, Grindsted Elnet A/S, Tarm Elværk Net A/S, Videbæk Elnet A/S, Veksel A/S, FLOW Elnet A/S",83.9018407663315,214.664976,179.02608020999998,345,32,1721,1721,9354.196807496655,1.1990709719399268
331,Netselskabet Elværk A/S,39.07951558880623,104.913832,86.9586387,345,47,1721,1721,8676.517178215383,1.2064796961914723
398,N1 A/S - 398,4.8951655901104125,9.58686,8.409064999999998,169,1,843,843,6718.29244809188,1.1400625396521495
152,N1 A/S - 152,38.72585974289302,72.41522599999999,58.65314670000002,88,31,438,438,4237.055426639907,1.23463496972107
