timestamp,scenario,actual_price,forecast_price,baseline_load,inflexible_load,shifted_out,shifted_in,shifted_total_load,target_hour_idx,wait_hours,shift_score,timeslot_shiftability,flex_short_flex_load,shift_out_short_flex,flex_day_flex_load,shift_out_day_flex,flex_multi_day_flex_load,shift_out_multi_day_flex,target_timestamp
2025-12-19 00:00:00,conservative,73.516608,151.00516193542185,3605.324047,2956.3657185399998,0.9642023931382457,0.0,3604.3598446068618,5,5.0,14.995543488328469,0.6,216.31944282,0.11998715920058187,288.42592376,0.6171603311078789,144.21296188,0.22705490282978494,2025-12-19 05:00:00
2025-12-19 01:00:00,conservative,43.762554,90.25898740424682,3868.834526,3172.44431132,0.5725490545873646,0.0,3868.2619769454127,4,3.0,6.9751954193731,0.6,232.13007156,0.10485046631763313,309.50676208,0.3543593127415441,154.75338104,0.11333927552818734,2025-12-19 04:00:00
2025-12-19 02:00:00,conservative,32.350296,63.71987078578155,3809.755944,3123.9998740799997,0.0,0.0,3809.755944,-1,0.0,0.0,0.6,228.58535664,0.0,304.78047552,0.0,152.39023776,0.0,
2025-12-19 03:00:00,conservative,26.261268,43.938011909658236,3814.2640050000005,3127.6964841000004,0.0,0.0,3814.2640050000005,-1,0.0,0.0,0.6,228.8558403,0.0,305.14112040000003,0.0,152.57056020000002,0.0,
2025-12-19 04:00:00,conservative,30.127614,36.35603658441386,3628.1016170000003,2975.04332594,0.0,0.5725490545873646,3628.6741660545877,-1,0.0,0.0,0.6,217.68609702,0.0,290.24812936,0.0,145.12406468,0.0,
2025-12-19 05:00:00,conservative,68.60429400000001,56.94396943596073,3331.6494279999997,2731.9525309599994,0.0,0.9642023931382457,3332.613630393138,-1,0.0,0.0,0.6,199.89896567999998,0.0,266.53195424,0.0,133.26597712,0.0,
2025-12-19 06:00:00,conservative,233.77384625000002,136.7595555225083,3006.963525,2465.7100904999998,0.5152490112310527,0.0,3006.448275988769,24,18.0,38.97315647192911,0.3,180.4178115,0.0,240.557082,0.26924355890076856,120.278541,0.24600545233028412,2025-12-20 00:00:00
2025-12-19 07:00:00,conservative,377.837266,237.48082946910657,3138.483303,2573.55630846,2.848808713619443,0.0,3135.6344942863807,24,17.0,142.30053323147732,0.3,188.30899818,0.5950633392724725,251.07866424,1.3206858078414263,125.53933212,0.9330595665055442,2025-12-20 00:00:00
2025-12-19 08:00:00,conservative,445.7317975,320.9288632674283,3281.613261,2690.9228740199997,4.089818391807899,1.9157491471138988,3279.4391917553057,24,16.0,194.47674336056946,0.3,196.89679565999998,0.8583373149296569,262.52906088,1.9040544465487113,131.26453044,1.327426630329531,2025-12-20 00:00:00
2025-12-19 09:00:00,conservative,464.52186,367.18360012458203,3215.1992120000004,2636.4633538400003,6.580099248346707,2.7623917614783684,3211.381504513132,24,15.0,212.3254548482407,0.5,192.91195272000002,1.000329436598867,257.21593696,3.217545419746487,128.60796848,2.362224392001353,2025-12-20 00:00:00
2025-12-19 10:00:00,conservative,469.0792975,408.49303037982565,3202.467313,2626.02319666,7.4078196207723135,1.000329436598867,3196.0598228158265,24,14.0,220.05915072316623,0.5,192.14803878,1.4108682019653007,256.19738504000003,3.5604267622038384,128.09869252000001,2.436524656603174,2025-12-20 00:00:00
2025-12-19 11:00:00,conservative,472.62811375,389.6960102086607,3161.184896,2592.17161472,7.921043592796659,1.4108682019653007,3154.674720609169,24,13.0,227.24096085021196,0.5,189.67109376000002,1.5495817731899701,252.89479168000003,3.8898525642814232,126.44739584000001,2.4816092553252656,2025-12-20 00:00:00
2025-12-19 12:00:00,conservative,462.5233105,384.2771623725362,3058.465123,2507.9414008599997,7.36348660940069,1.5495817731899701,3052.651218163789,24,12.0,223.88281300130797,0.5,183.50790737999998,1.0220366686978197,244.67720984,3.9750612635971345,122.33860492,2.3663886771057356,2025-12-20 00:00:00
2025-12-19 13:00:00,conservative,458.731676,402.3397800389192,3001.023889,2460.83958898,7.69208471170826,1.0220366686978197,2994.3538409569896,24,11.0,225.3626878716409,0.5,180.06143334,1.1470425684117578,240.08191112,4.208138110212409,120.04095556,2.3369040330840933,2025-12-20 00:00:00
2025-12-19 14:00:00,conservative,469.84508800000003,389.8801509203025,2936.925435,2408.2788567,8.181616825785488,1.1470425684117578,2929.8908607426265,24,10.0,239.01420833470544,0.5,176.2155261,1.081789983176458,234.95403480000002,4.678146994734568,117.47701740000001,2.421679847874461,2025-12-20 00:00:00
2025-12-19 15:00:00,conservative,549.955034,403.49726842701034,3037.017339,2490.3542179799997,12.531278606148945,1.081789983176458,3025.5678503770273,24,9.0,310.7560671600662,0.5,182.22104034,2.598785445594522,242.96138712,6.708363402905414,121.48069356,3.224129757649007,2025-12-20 00:00:00
2025-12-19 16:00:00,conservative,602.70170425,395.2710280154181,3000.074526,2460.06111132,4.152981248083001,2.598785445594522,2998.520330197511,24,8.0,361.98150358033047,0.15,180.00447155999998,0.5814411725461764,240.00596208,2.4679303511419888,120.00298104,1.103609724394836,2025-12-20 00:00:00
