Date,total_consumption_kWh,peak_load_kWh,avg_load_kWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,daily_maintenance_pressure,rolling_30d_pressure,rolling_30d_overloaded_hours
2022-04-02,53741234.398,2512320.771,2239218.0999166667,0,0,0,0,9.749984483189326,358.98720584113715,0.0
2022-04-03,56862018.052,2946447.748,2369250.7521666666,0,0,0,0,11.125137488425485,357.6354503385439,0.0
2022-04-04,70788212.056,3513481.644,2949508.8356666663,0,0,0,5,17.0735948051655,364.8813553983285,0.0
2022-04-05,62276367.498,2910331.499,2594848.64575,0,0,0,0,13.118292128700466,368.76457640972836,0.0
2022-04-06,63474110.185,3102866.516,2644754.591041667,0,0,0,0,13.756769521309675,369.7455817716558,0.0
2022-04-07,68149382.14,3326969.261,2839557.589166667,0,0,0,1,15.7303742927306,372.66080960437415,0.0
2022-04-08,67770471.197,3365744.921,2823769.633208333,0,0,0,2,15.652803811587598,375.19744350173164,0.0
2022-04-09,59585773.158,2911164.826,2482740.54825,0,0,0,0,12.210897269154886,371.22428104390497,0.0
2022-04-10,59872417.969,2804538.955,2494684.0820416664,0,0,0,0,12.082928001708446,366.5229571022593,0.0
2022-04-11,57822977.448,2754154.393,2409290.727,0,0,0,0,11.342991174723437,365.74186170155787,0.0
2022-04-12,62530991.069,3082486.814,2605457.9612083333,0,0,0,0,13.505704465029583,368.12725147809135,0.0
2022-04-13,58206386.7,2908142.936,2425266.1125000003,0,0,0,0,11.683145356031945,367.11057600644693,0.0
2022-04-14,48902030.902,2328136.404,2037584.6209166667,0,0,0,0,8.131653017944112,363.0783429206985,0.0
2022-04-15,48861183.503,2279798.5470000003,2035882.6459583333,0,0,0,0,8.093134277551234,358.2071677896613,0.0
2022-04-16,50277602.799,2426498.04,2094900.116625,0,0,0,0,8.574175519539573,351.66666929166513,0.0
2022-04-17,48396302.308,2319596.019,2016512.5961666666,0,0,0,0,7.9604812646156,348.42276406927095,0.0
2022-04-18,48318840.645,2259380.701,2013285.0268750002,0,0,0,0,7.889137933705117,345.92284141240634,0.0
2022-04-19,53935878.739,2625437.241,2247328.280791667,0,0,0,0,9.987340552901982,344.31187723390013,0.0
2022-04-20,54425596.591,2615134.358,2267733.1912916666,0,0,0,0,10.12428710807779,341.7908404735151,0.0
2022-04-21,54938199.321,2633805.0640000002,2289091.638375,0,0,0,0,10.308660402159465,340.3884478495859,0.0
2022-04-22,53913566.725,2787384.016,2246398.613541667,0,0,0,0,10.069498760455778,338.93606944439017,0.0
2022-04-23,47495718.536,2235357.715,1978988.2723333333,0,0,2,0,7.658516588588687,335.1634068565646,0.0
2022-04-24,48435485.951,2388586.6999999997,2018145.2479583332,0,0,6,0,8.097468288851632,332.91175449464475,0.0
2022-04-25,54727926.221,2662244.091,2280330.259208333,0,0,0,0,10.291674905383314,334.5445680686251,0.0
2022-04-26,55638410.312,2663304.384,2318267.0963333333,0,0,0,0,10.575115389630763,337.67835190720905,0.0
2022-04-27,55767201.103,2660261.8680000002,2323633.3792916667,0,0,0,0,10.5863132465436,335.8084468762684,0.0
2022-04-28,55632339.526,2661567.442,2318014.1469166665,0,0,0,0,10.541396297004985,334.5416104045084,0.0
2022-04-29,53950766.262,2676071.629,2247948.59425,0,0,0,0,9.952004821079607,332.2557471415657,0.0
2022-04-30,47042690.249,2160467.0100000002,1960112.0937083333,0,0,0,0,7.464467274425081,325.67749494373226,0.0
2022-05-01,46291138.63,2207783.36,1928797.4429166669,0,0,6,0,7.278166400362695,320.61611484657794,0.0
2022-05-02,55604591.983,2676826.196,2316857.999291667,0,0,0,0,10.607255532166413,321.473385895555,0.0
2022-05-03,56085795.688,2683715.22,2336908.1536666667,0,0,0,0,10.739318226003956,321.0875666331335,0.0
2022-05-04,56391865.039,2690833.394,2349661.0432916665,0,0,0,0,10.842153490555923,314.85612531852394,0.0
2022-05-05,57048418.223,2745638.758,2377017.425958333,0,0,0,0,11.101588586923063,312.8394217767466,0.0
2022-05-06,55235175.73,2739329.801,2301465.6554166665,0,0,0,0,10.422676665385566,309.5053289208224,0.0
2022-05-07,46592668.726,2137963.575,1941361.1969166668,0,0,2,0,7.333487926504337,301.1084425545962,0.0
2022-05-08,45731546.506,2169859.198,1905481.1044166666,0,0,6,0,7.062133533749442,292.517772276758,0.0
2022-05-09,54949523.034,2653325.151,2289563.45975,0,0,0,0,10.34753405509949,290.6544090627026,0.0
2022-05-10,57239031.372,2884294.668,2384959.6405,0,0,0,0,11.350897559346976,289.92237862034114,0.0
2022-05-11,57036650.21,2857123.711,2376527.0920833335,0,0,0,0,11.206896072530885,289.7862835181486,0.0
2022-05-12,60619124.304,3113992.633,2525796.846,0,0,0,0,12.853896859100974,289.13447591221995,0.0
2022-05-13,52170551.055,2622221.084,2173772.960625,0,0,4,0,9.472785587100596,286.92411614328864,0.0
2022-05-14,49486092.063,2353321.248,2061920.502625,0,0,0,0,8.262915333488541,287.05537845883305,0.0
2022-05-15,45013958.817,2185272.077,1875581.6173750001,0,0,7,0,6.927785647057509,285.8900298283393,0.0
