forecast_variable,actual_variable,horizon_hours,n,mean_error,std_error,mae,rmse,p05_error,p25_error,p50_error,p75_error,p95_error
cloud_cover,cloud_cover,24,5183,-1.4368126567624928,24.3674553134569,11.368898321435463,24.407432217330143,-46.0,0.0,0.0,0.0,38.899999999999636
cloud_cover,cloud_cover,48,5135,-1.7750730282375853,28.808615859666507,14.19143135345667,28.860450595384794,-63.0,-1.0,0.0,0.0,49.0
cloud_cover,cloud_cover,72,5087,-1.376842932966385,33.47330532096877,17.551405543542362,33.49832243055599,-71.0,-1.0,0.0,0.0,65.0
cloud_cover,cloud_cover,96,5039,-2.19408612820004,37.33579420786342,21.10379043461004,37.39650930920684,-80.0,-5.0,0.0,0.0,72.0
cloud_cover,cloud_cover,120,4991,-3.9344820677218992,41.62845386835989,25.431576838308956,41.809820736257606,-90.0,-12.0,0.0,1.0,77.0
pressure_msl,pressure_msl,24,5183,-0.09751109396102678,0.6423131401685708,0.4673741076596558,0.649611409690617,-1.099999999999909,-0.40000000000009095,-0.10000000000002274,0.2999999999999545,0.8999999999999773
pressure_msl,pressure_msl,48,5135,-0.04778967867575482,1.1923656984636906,0.8773904576436227,1.1932069982210556,-2.0,-0.7000000000000455,-0.09999999999990905,0.6000000000000227,1.8000000000000682
pressure_msl,pressure_msl,72,5087,0.058875565166109915,1.9664936512542484,1.4497542756044823,1.9671815931640841,-3.1000000000000227,-1.099999999999966,0.10000000000002274,1.1000000000000227,3.199999999999932
pressure_msl,pressure_msl,96,5039,0.17275253026394088,3.241482836762406,2.3704901766223463,3.2457617349288834,-5.099999999999921,-1.6000000000000227,0.20000000000004547,1.8999999999999773,5.600000000000023
pressure_msl,pressure_msl,120,4991,0.21005810458825944,4.426076742136826,3.311240232418353,4.430615604896123,-6.800000000000068,-2.300000000000068,0.10000000000002274,2.6000000000000227,7.7999999999999545
shortwave_radiation,shortwave_radiation,24,5062,1.441525088897669,28.889408844351145,9.910904780719083,28.922500977975943,-25.0,0.0,0.0,0.0,32.0
shortwave_radiation,shortwave_radiation,48,5038,2.299722111949186,35.47733275614117,12.439063120285828,35.548277479487446,-32.0,0.0,0.0,0.0,46.0
shortwave_radiation,shortwave_radiation,72,5014,0.9704826485839649,44.45125139447709,16.111687275628242,44.45741229286991,-45.349999999999994,0.0,0.0,0.0,54.349999999999454
shortwave_radiation,shortwave_radiation,96,4990,-0.07975951903807615,53.2024656978058,19.058517034068135,53.19719431479382,-56.0,0.0,0.0,0.0,56.55000000000018
shortwave_radiation,shortwave_radiation,120,4966,1.0376560612162706,54.696669655133995,20.827023761578737,54.7010051070923,-62.0,0.0,0.0,0.0,66.75
temperature_2m,temperature_2m,24,5183,-0.023094732780243106,0.8262652789332453,0.5592706926490449,0.8265082915555251,-1.1999999999999993,-0.40000000000000036,0.0,0.39999999999999947,1.200000000000001
temperature_2m,temperature_2m,48,5135,-0.0665238558909445,1.006708647281731,0.7194547224926972,1.0088064037627036,-1.6,-0.5999999999999999,-0.09999999999999964,0.40000000000000036,1.5
temperature_2m,temperature_2m,72,5087,-0.1499508551208964,1.3518922151877362,0.9577354039709063,1.3600509362678916,-2.3,-0.7999999999999998,-0.1999999999999993,0.5,2.0999999999999996
temperature_2m,temperature_2m,96,5039,-0.20180591387179997,1.6362163558396143,1.1681484421512205,1.6484533033459472,-2.9000000000000004,-1.0,-0.20000000000000018,0.6999999999999993,2.4
temperature_2m,temperature_2m,120,4991,-0.21897415347625723,1.9923085142530246,1.4640953716690042,2.00410768315733,-3.5,-1.200000000000001,-0.20000000000000018,0.9000000000000004,2.9000000000000004
wind_direction_10m,wind_direction_10m,24,5183,2.1472120393594443,19.574540000026886,10.109781979548524,19.690078947336502,-18.0,-3.0,2.0,7.0,25.0
wind_direction_10m,wind_direction_10m,48,5135,0.7955209347614411,25.908747663466706,14.27555988315482,25.918436216907317,-32.0,-6.0,1.0,9.0,33.0
