TimeUTC,TimeDK,RegionName,ConsumerCategory2,ConsumerCategory3,ConsumptionkWh
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,27902.895
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Nordjylland,Privat,Privat,196145.341
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Sjælland,Erhverv,Erhverv,327246.569
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Sjælland,Erhverv,Offentlige foretagender,39212.648
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Sjælland,Privat,Privat,332340.938
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Syddanmark,Erhverv,Erhverv,670190.89
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,50241.035
2025-12-31T19:00:00,2025-12-31T20:00:00,Region Syddanmark,Privat,Privat,359590.506
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Hovedstaden,Erhverv,Erhverv,593504.377
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,95374.67
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Hovedstaden,Privat,Privat,519578.329
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Midtjylland,Erhverv,Erhverv,534642.681
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,54198.505
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Midtjylland,Privat,Privat,447247.948
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Nordjylland,Erhverv,Erhverv,293771.012
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,28645.495
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Nordjylland,Privat,Privat,225801.374
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Sjælland,Erhverv,Erhverv,327530.753
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Sjælland,Erhverv,Offentlige foretagender,39860.089
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Sjælland,Privat,Privat,372777.628
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Syddanmark,Erhverv,Erhverv,646767.794
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,51725.995
