TimeUTC,TimeDK,HousingCategory,HeatingCategory,ConsumptionkWh
2025-12-31T17:00:00,2025-12-31T18:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,462743.449
2025-12-31T17:00:00,2025-12-31T18:00:00,Ukendt,Andet,169649.01
2025-12-31T17:00:00,2025-12-31T18:00:00,Ukendt,Elvarme eller varmepumpe,92605.499
2025-12-31T16:00:00,2025-12-31T17:00:00,Andet,Andet,94585.779
2025-12-31T16:00:00,2025-12-31T17:00:00,Andet,Elvarme eller varmepumpe,12080.511
2025-12-31T16:00:00,2025-12-31T17:00:00,Etageejendom,Andet,312129.569
2025-12-31T16:00:00,2025-12-31T17:00:00,Etageejendom,Elvarme eller varmepumpe,8723.36
2025-12-31T16:00:00,2025-12-31T17:00:00,Fritidshuse,Andet,13656.046
2025-12-31T16:00:00,2025-12-31T17:00:00,Fritidshuse,Elvarme eller varmepumpe,189402.832
2025-12-31T16:00:00,2025-12-31T17:00:00,Parcel- og rækkehuse,Andet,872196.4
2025-12-31T16:00:00,2025-12-31T17:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,477348.145
2025-12-31T16:00:00,2025-12-31T17:00:00,Ukendt,Andet,166791.288
2025-12-31T16:00:00,2025-12-31T17:00:00,Ukendt,Elvarme eller varmepumpe,93530.682
2025-12-31T15:00:00,2025-12-31T16:00:00,Andet,Andet,90389.732
2025-12-31T15:00:00,2025-12-31T16:00:00,Andet,Elvarme eller varmepumpe,11692.68
2025-12-31T15:00:00,2025-12-31T16:00:00,Etageejendom,Andet,277815.561
2025-12-31T15:00:00,2025-12-31T16:00:00,Etageejendom,Elvarme eller varmepumpe,8524.442
2025-12-31T15:00:00,2025-12-31T16:00:00,Fritidshuse,Andet,12570.939
2025-12-31T15:00:00,2025-12-31T16:00:00,Fritidshuse,Elvarme eller varmepumpe,177631.667
2025-12-31T15:00:00,2025-12-31T16:00:00,Parcel- og rækkehuse,Andet,773587.895
2025-12-31T15:00:00,2025-12-31T16:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,470038.894
2025-12-31T15:00:00,2025-12-31T16:00:00,Ukendt,Andet,150373.556
2025-12-31T15:00:00,2025-12-31T16:00:00,Ukendt,Elvarme eller varmepumpe,93365.388
2025-12-31T14:00:00,2025-12-31T15:00:00,Andet,Andet,81858.225
2025-12-31T14:00:00,2025-12-31T15:00:00,Andet,Elvarme eller varmepumpe,10871.299
2025-12-31T14:00:00,2025-12-31T15:00:00,Etageejendom,Andet,249662.38
2025-12-31T14:00:00,2025-12-31T15:00:00,Etageejendom,Elvarme eller varmepumpe,8024.384
2025-12-31T14:00:00,2025-12-31T15:00:00,Fritidshuse,Andet,11363.735
2025-12-31T14:00:00,2025-12-31T15:00:00,Fritidshuse,Elvarme eller varmepumpe,161747.994
2025-12-31T14:00:00,2025-12-31T15:00:00,Parcel- og rækkehuse,Andet,686407.498
2025-12-31T14:00:00,2025-12-31T15:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,432213.762
