model,days,avg_price_dkk_per_mwh,household_share_of_system,flexible_share_of_household,responsive_household_share,shifted_energy_mwh,baseline_peak_mw,shifted_peak_mw,peak_reduction_mw,residential_cost_savings_dkk,residential_cost_savings_pct
threshold,14,707.414850913216,0.35,0.23,0.33,56.29536773570317,3849.6523378240718,3849.6523378240718,0.0,49942.02726697922,0.00018161459364716373
logistic,14,707.414850913216,0.35,0.23,0.33,2186.8110331874573,3849.6523378240718,3841.2233465436866,8.428991280385162,528091.0056778193,0.001920407293284078
elasticity,14,707.414850913216,0.35,0.23,0.33,334.4519171937511,3849.6523378240718,3848.1782776604987,1.4740601635730854,90256.10752058029,0.0003282170786519692
